UC,Cjto,Alimentador,SE,Interrupcao,Tipo,Motivo_expurgo,Data_inicio,Hora_inicio,Data_fim,Horario_fim,Fato Gerador,Nivel Tensao
10099859,15632,NIO51,NIO,2155600,Interrupção não programada,,3/21/2014,16:24:00,3/23/2014,11:00:00,Meio Ambiente,34500
10099841,15632,NIO51,NIO,2155600,Interrupção não programada,,3/21/2014,16:24:00,3/23/2014,11:00:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2091700,Interrupção não programada,6,1/7/2014,21:45:00,1/8/2014,17:10:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2091700,Interrupção não programada,6,1/7/2014,21:45:00,1/8/2014,17:10:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2134092,Interrupção programada,,3/15/2014,12:53:00,3/15/2014,17:10:00,Manutenção,34500
13320611,12860,mar.-51,MAR,2137431,Interrupção não programada,,3/2/2014,13:50:00,3/2/2014,15:47:00,Meio Ambiente,34500
1388231,12860,mar.-51,MAR,2137431,Interrupção não programada,,3/2/2014,13:50:00,3/2/2014,15:47:00,Meio Ambiente,34500
30244650,12803,ACA51,ACA,2137445,Interrupção não programada,,3/2/2014,14:45:00,3/2/2014,14:56:00,Meio Ambiente,34500
11730846,12803,ACA51,ACA,2137445,Interrupção não programada,,3/2/2014,14:45:00,3/2/2014,14:56:00,Meio Ambiente,34500
11736623,12803,ACA51,ACA,2137445,Interrupção não programada,,3/2/2014,14:45:00,3/2/2014,14:56:00,Meio Ambiente,34500
11729830,15627,ACA51,ACA,2137445,Interrupção não programada,,3/2/2014,14:45:00,3/2/2014,16:20:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2138054,Interrupção não programada,,3/2/2014,21:39:00,3/2/2014,23:33:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2138054,Interrupção não programada,,3/3/2014,0:52:00,3/3/2014,9:18:00,Meio Ambiente,34500
12169528,12881,PMU02,PMU,2138110,Interrupção não programada,,3/3/2014,0:35:00,3/3/2014,0:52:00,Meio Ambiente,13800
30841020,12834,COX51,COX,2138760,Interrupção não programada,,3/3/2014,12:53:00,3/3/2014,20:02:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2138760,Interrupção não programada,,3/3/2014,12:53:00,3/3/2014,20:02:00,Meio Ambiente,34500
11730846,12803,ACA51,ACA,2138862,Interrupção não programada,,3/3/2014,14:05:00,3/3/2014,14:27:00,Própria do Sistema,34500
30244650,12803,ACA51,ACA,2138862,Interrupção não programada,,3/3/2014,14:05:00,3/3/2014,14:27:00,Própria do Sistema,34500
11736623,12803,ACA51,ACA,2138862,Interrupção não programada,,3/3/2014,14:05:00,3/3/2014,14:27:00,Própria do Sistema,34500
32156987,12831,COR52,COR,2138984,Interrupção não programada,,3/3/2014,12:04:00,3/3/2014,16:56:00,Própria do Sistema,34500
30841020,12834,COX51,COX,2139840,Interrupção não programada,,3/4/2014,16:08:00,3/4/2014,17:29:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2139840,Interrupção não programada,,3/4/2014,16:08:00,3/4/2014,17:29:00,Meio Ambiente,34500
2840456,12827,CSU52,CSU,2140835,Interrupção não programada,,3/6/2014,6:31:00,3/6/2014,10:40:00,Meio Ambiente,34500
13320611,12860,mar.-51,MAR,2141266,Interrupção não programada,,3/6/2014,19:14:00,3/6/2014,19:58:00,Própria do Sistema,34500
1388231,12860,mar.-51,MAR,2141266,Interrupção não programada,,3/6/2014,19:14:00,3/6/2014,19:58:00,Própria do Sistema,34500
15789802,12807,CAM52,CAM,2141835,Interrupção não programada,,3/7/2014,7:27:00,3/7/2014,8:24:00,Terceiros,34500
15109348,12807,CAM52,CAM,2141835,Interrupção não programada,,3/7/2014,7:27:00,3/7/2014,8:24:00,Terceiros,34500
13992121,12807,CAM52,CAM,2141835,Interrupção não programada,,3/7/2014,7:27:00,3/7/2014,8:24:00,Terceiros,34500
1887297,12875,NAN51,NAN,2142199,Interrupção não programada,,3/7/2014,16:37:00,3/7/2014,17:20:00,Própria do Sistema,34500
12056146,12807,CAM52,CAM,2142481,Interrupção não programada,,3/7/2014,17:32:00,3/8/2014,10:10:00,Meio Ambiente,34500
2285339,15632,BVI02,BVI,2142743,Interrupção não programada,,3/7/2014,23:39:00,3/8/2014,1:31:00,Meio Ambiente,13800
2285321,15632,BVI02,BVI,2142743,Interrupção não programada,,3/7/2014,23:39:00,3/8/2014,1:31:00,Meio Ambiente,13800
30841011,12834,COX51,COX,2143137,Interrupção não programada,,3/8/2014,13:14:00,3/8/2014,22:48:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2143137,Interrupção não programada,,3/8/2014,13:14:00,3/8/2014,22:48:00,Meio Ambiente,34500
11311649,12878,INO51,INO,2143741,Interrupção não programada,,3/10/2014,6:51:00,3/10/2014,20:30:00,Meio Ambiente,34500
15789802,12807,CAM52,CAM,2143742,Interrupção não programada,6,3/10/2014,6:46:00,3/10/2014,14:33:00,Meio Ambiente,34500
13992121,12807,CAM52,CAM,2143742,Interrupção não programada,6,3/10/2014,6:46:00,3/10/2014,14:33:00,Meio Ambiente,34500
12056146,12807,CAM52,CAM,2143752,Interrupção não programada,6,3/10/2014,6:45:00,3/10/2014,7:55:00,Meio Ambiente,34500
12056146,12807,CAM52,CAM,2143893,Interrupção não programada,6,3/10/2014,8:46:00,3/10/2014,18:10:00,Meio Ambiente,34500
11729830,15627,ACA51,ACA,2144166,Interrupção não programada,,3/10/2014,11:02:00,3/10/2014,21:32:00,Meio Ambiente,34500
9607650,12803,BON51,BON,2144364,Interrupção não programada,,3/10/2014,13:05:00,3/10/2014,13:13:00,Própria do Sistema,34500
9809970,12803,BON51,BON,2144364,Interrupção não programada,,3/10/2014,13:05:00,3/10/2014,13:13:00,Própria do Sistema,34500
9607650,12803,BON51,BON,2144364,Interrupção não programada,,3/10/2014,13:23:00,3/10/2014,16:02:00,Própria do Sistema,34500
9809970,12803,BON51,BON,2144364,Interrupção não programada,,3/10/2014,13:23:00,3/10/2014,16:02:00,Própria do Sistema,34500
1388231,12860,mar.-51,MAR,2145312,Interrupção não programada,,3/10/2014,19:09:00,3/10/2014,23:50:00,Meio Ambiente,34500
13320611,12860,mar.-51,MAR,2145312,Interrupção não programada,,3/10/2014,19:09:00,3/10/2014,23:50:00,Meio Ambiente,34500
10099841,15632,NIO51,NIO,2145804,Interrupção não programada,,3/11/2014,7:51:00,3/14/2014,23:25:00,Meio Ambiente,34500
10099859,15632,NIO51,NIO,2145804,Interrupção não programada,,3/11/2014,7:51:00,3/14/2014,23:25:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2146453,Interrupção não programada,6,3/11/2014,15:14:00,3/12/2014,9:49:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2146453,Interrupção não programada,6,3/11/2014,15:14:00,3/12/2014,9:49:00,Meio Ambiente,34500
12056146,12807,CAM52,CAM,2146543,Interrupção não programada,6,3/11/2014,16:06:00,3/11/2014,16:25:00,Meio Ambiente,34500
11311649,12878,INO51,INO,2146888,Interrupção não programada,,3/11/2014,19:56:00,3/12/2014,2:35:00,Meio Ambiente,34500
2548810,12878,INO51,INO,2146888,Interrupção não programada,,3/11/2014,19:56:00,3/12/2014,18:20:00,Meio Ambiente,34500
30841011,12834,COX51,COX,2147455,Interrupção não programada,,3/12/2014,10:51:00,3/12/2014,21:39:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2147455,Interrupção não programada,,3/12/2014,10:51:00,3/12/2014,21:39:00,Meio Ambiente,34500
1887297,12875,NAN51,NAN,2147822,Interrupção não programada,,3/12/2014,17:48:00,3/12/2014,19:51:00,Meio Ambiente,34500
30841020,12834,COX51,COX,2147984,Interrupção não programada,,3/12/2014,21:53:00,3/13/2014,10:37:00,Própria do Sistema,34500
30841011,12834,COX51,COX,2147984,Interrupção não programada,,3/12/2014,21:53:00,3/13/2014,10:37:00,Própria do Sistema,34500
2840456,12827,CSU52,CSU,2148024,Interrupção não programada,,3/12/2014,18:05:00,3/13/2014,11:40:00,Meio Ambiente,34500
31440932,12854,IGU52,IGU,2148429,Interrupção não programada,,3/13/2014,14:55:00,3/13/2014,17:40:00,Meio Ambiente,34500
31418279,12854,IGU52,IGU,2148429,Interrupção não programada,,3/13/2014,14:55:00,3/13/2014,17:40:00,Meio Ambiente,34500
2702525,12854,IGU52,IGU,2148429,Interrupção não programada,,3/13/2014,14:55:00,3/13/2014,17:40:00,Meio Ambiente,34500
13919091,12807,CAM02,CAM,2148521,Interrupção não programada,,3/13/2014,16:01:00,3/13/2014,16:06:00,Não Classificada,13800
13992121,12807,CAM52,CAM,2148589,Interrupção não programada,,3/13/2014,17:02:00,3/14/2014,13:40:00,Meio Ambiente,34500
15789802,12807,CAM52,CAM,2148589,Interrupção não programada,,3/13/2014,17:02:00,3/14/2014,13:40:00,Meio Ambiente,34500
31418279,12854,IGU52,IGU,2149360,Interrupção não programada,,3/14/2014,8:00:00,3/14/2014,13:50:00,Meio Ambiente,34500
31440932,12854,IGU52,IGU,2149360,Interrupção não programada,,3/14/2014,8:00:00,3/14/2014,13:50:00,Meio Ambiente,34500
9809970,12803,BON51,BON,2149486,Interrupção não programada,,3/14/2014,10:30:00,3/14/2014,13:38:00,Própria do Sistema,34500
9607650,12803,BON51,BON,2149486,Interrupção não programada,,3/14/2014,10:30:00,3/14/2014,13:38:00,Própria do Sistema,34500
1388231,12860,mar.-51,MAR,2149487,Interrupção não programada,,3/14/2014,12:23:00,3/14/2014,12:46:00,Própria do Sistema,34500
13320611,12860,mar.-51,MAR,2149487,Interrupção não programada,,3/14/2014,12:23:00,3/14/2014,12:46:00,Própria do Sistema,34500
31418279,12854,IGU52,IGU,2149810,Interrupção não programada,,3/14/2014,16:41:00,3/15/2014,8:55:00,Meio Ambiente,34500
31440932,12854,IGU52,IGU,2149810,Interrupção não programada,,3/14/2014,16:41:00,3/15/2014,8:55:00,Meio Ambiente,34500
2548810,12878,INO51,INO,2149867,Interrupção não programada,,3/14/2014,17:07:00,3/15/2014,2:01:00,Terceiros,34500
11311649,12878,INO51,INO,2149867,Interrupção não programada,,3/14/2014,17:07:00,3/15/2014,3:10:00,Terceiros,34500
1887297,12875,NAN51,NAN,2150203,Interrupção não programada,,3/15/2014,8:08:00,3/15/2014,12:45:00,Própria do Sistema,34500
30841020,12834,COX51,COX,2150301,Interrupção não programada,,3/15/2014,10:38:00,3/15/2014,14:00:00,Própria do Sistema,34500
30841011,12834,COX51,COX,2150301,Interrupção não programada,,3/15/2014,10:38:00,3/15/2014,14:00:00,Própria do Sistema,34500
13320611,12860,mar.-51,MAR,2150664,Interrupção não programada,,3/15/2014,16:43:00,3/15/2014,18:11:00,Meio Ambiente,34500
1388231,12860,mar.-51,MAR,2150664,Interrupção não programada,,3/15/2014,16:43:00,3/15/2014,18:11:00,Meio Ambiente,34500
30093651,12807,CAM52,CAM,2151393,Interrupção não programada,,3/16/2014,17:11:00,3/16/2014,21:53:00,Meio Ambiente,34500
13320611,12860,mar.-51,MAR,2151524,Interrupção não programada,,3/17/2014,6:10:00,3/17/2014,9:49:00,Própria do Sistema,34500
